Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Unit Amenities,Building Amenities,Pets,Price,Latitude,Longitude,Date,Url
2373 Bloor Street West,Swansea Apartments,"2373 Bloor St W, Toronto, ON M6S 1P6",Toronto,14,1 Bedrooms,1 Bathroom,,"Central Heat, On Site Laundry, Walk In Closets","On Site Laundry, Storage",Dogs & Cats,"$2,450",43.64982587742444,-79.48200235090084,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p781417/apartments-at-2373-bloor-st-w-toronto-on-m6s-1p6
2373 Bloor Street West,Swansea Apartments,"2373 Bloor St W, Toronto, ON M6S 1P6",Toronto,6,1 Bedrooms,1 Bathroom,,"Central Heat, On Site Laundry, Walk In Closets","On Site Laundry, Storage",Dogs & Cats,"$2,450",43.64982587742444,-79.48200235090084,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p781417/apartments-at-2373-bloor-st-w-toronto-on-m6s-1p6
2373 Bloor Street West,Swansea Apartments,"2373 Bloor St W, Toronto, ON M6S 1P6",Toronto,8,1 Bedrooms,1 Bathroom,650 SQFT,"Central Heat, On Site Laundry, Walk In Closets","On Site Laundry, Storage",Dogs & Cats,"$2,450",43.64982587742444,-79.48200235090084,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p781417/apartments-at-2373-bloor-st-w-toronto-on-m6s-1p6
2373 Bloor Street West,Swansea Apartments,"2373 Bloor St W, Toronto, ON M6S 1P6",Toronto,16,1 Bedrooms,1 Bathroom,,"Central Heat, On Site Laundry, Walk In Closets","On Site Laundry, Storage",Dogs & Cats,"$2,450",43.64982587742444,-79.48200235090084,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p781417/apartments-at-2373-bloor-st-w-toronto-on-m6s-1p6
272 Birmingham Street,New Toronto Apartments,"272 Birmingham St, Toronto, ON M8V 2E4",Toronto,2,1 Bedrooms,1 Bathroom,,,,Dogs & Cats,"$1,950",43.60080157425463,-79.51780309110113,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p836957/apartments-at-272-birmingham-st-toronto-on-m8v-2e4
272 Birmingham Street,New Toronto Apartments,"272 Birmingham St, Toronto, ON M8V 2E4",Toronto,5,1 Bedrooms,1 Bathroom,,,,Dogs & Cats,"$1,975",43.60080157425463,-79.51780309110113,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p836957/apartments-at-272-birmingham-st-toronto-on-m8v-2e4
Hampton House South,North Toronto Apartments,"322 Eglinton Ave E, Toronto, ON M4P 1L6",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,518 SQFT,"Assigned Parking, Balcony, Central Heat, Hardwood Floor, On Site Laundry","Concierge Service, Controlled Access, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Swimming Pool",Dogs & Cats,"$2,075",43.70885921519033,-79.38827392135718,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p262418/hampton-house-south-apartments-at-322-eglinton-ave-e-toronto-on-m4p-1l6
Hampton House South,North Toronto Apartments,"322 Eglinton Ave E, Toronto, ON M4P 1L6",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,508 SQFT,"Assigned Parking, Balcony, Central Heat, Hardwood Floor, On Site Laundry","Concierge Service, Controlled Access, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Swimming Pool",Dogs & Cats,"$2,125",43.70885921519033,-79.38827392135718,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p262418/hampton-house-south-apartments-at-322-eglinton-ave-e-toronto-on-m4p-1l6
Hampton House South,North Toronto Apartments,"322 Eglinton Ave E, Toronto, ON M4P 1L6",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,704 SQFT,"Assigned Parking, Balcony, Central Heat, Hardwood Floor, On Site Laundry","Concierge Service, Controlled Access, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Swimming Pool",Dogs & Cats,"$2,165",43.70885921519033,-79.38827392135718,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p262418/hampton-house-south-apartments-at-322-eglinton-ave-e-toronto-on-m4p-1l6
Hampton House South,North Toronto Apartments,"322 Eglinton Ave E, Toronto, ON M4P 1L6",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,716 SQFT,"Assigned Parking, Balcony, Central Heat, Hardwood Floor, On Site Laundry","Concierge Service, Controlled Access, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Swimming Pool",Dogs & Cats,"$2,250",43.70885921519033,-79.38827392135718,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p262418/hampton-house-south-apartments-at-322-eglinton-ave-e-toronto-on-m4p-1l6
Hampton House South,North Toronto Apartments,"322 Eglinton Ave E, Toronto, ON M4P 1L6",Toronto,2 Bedroom,2 Bedrooms,1 Bathroom,912 SQFT,"Assigned Parking, Balcony, Central Heat, Hardwood Floor, On Site Laundry","Concierge Service, Controlled Access, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Swimming Pool",Dogs & Cats,"$2,850",43.70885921519033,-79.38827392135718,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p262418/hampton-house-south-apartments-at-322-eglinton-ave-e-toronto-on-m4p-1l6
Roehampton,North Toronto Apartments,"305 Roehampton Ave, Toronto, ON M4P 0B2",Toronto,2 Bedroom,2 Bedrooms,2 Bathrooms,725 SQFT,"Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry","Business Center, Concierge Service, Controlled Access, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,"$3,050",43.70985859327638,-79.38914408306304,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p262426/roehampton-apartments-at-305-roehampton-ave-toronto-on-m4p-0b2
Roehampton,North Toronto Apartments,"305 Roehampton Ave, Toronto, ON M4P 0B2",Toronto,Garden Villas,3 Bedrooms,3 Bathrooms,"1,364 SQFT","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry","Business Center, Concierge Service, Controlled Access, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,"$4,500",43.70985859327638,-79.38914408306304,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p262426/roehampton-apartments-at-305-roehampton-ave-toronto-on-m4p-0b2
225 Davisville Avenue,Davisville Village Apartments,"225 Davisville Ave, Toronto, ON M4S 1G9",Toronto,Studio,Studios,1 Bathroom,440 SQFT,"Hardwood Floor, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Outdoor Space, Storage, Swimming Pool",Dogs & Cats,"$1,875",43.699965582462994,-79.38832869525635,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p217257/apartments-at-225-davisville-ave-toronto-on-m4s-1g9
225 Davisville Avenue,Davisville Village Apartments,"225 Davisville Ave, Toronto, ON M4S 1G9",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,552 SQFT,"Hardwood Floor, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Outdoor Space, Storage, Swimming Pool",Dogs & Cats,"$2,100",43.699965582462994,-79.38832869525635,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p217257/apartments-at-225-davisville-ave-toronto-on-m4s-1g9
225 Davisville Avenue,Davisville Village Apartments,"225 Davisville Ave, Toronto, ON M4S 1G9",Toronto,Renovated 1 Bedroom,1 Bedrooms,1 Bathroom,552 SQFT,"Hardwood Floor, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Outdoor Space, Storage, Swimming Pool",Dogs & Cats,"$2,325",43.699965582462994,-79.38832869525635,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p217257/apartments-at-225-davisville-ave-toronto-on-m4s-1g9
225 Davisville Avenue,Davisville Village Apartments,"225 Davisville Ave, Toronto, ON M4S 1G9",Toronto,Renovated Deluxe One Bedroom,1 Bedrooms,1 Bathroom,724 SQFT,"Hardwood Floor, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Outdoor Space, Storage, Swimming Pool",Dogs & Cats,"$2,500",43.699965582462994,-79.38832869525635,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p217257/apartments-at-225-davisville-ave-toronto-on-m4s-1g9
225 Davisville Avenue,Davisville Village Apartments,"225 Davisville Ave, Toronto, ON M4S 1G9",Toronto,Two Bedroom,2 Bedrooms,1 Bathroom,891 SQFT,"Hardwood Floor, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Outdoor Space, Storage, Swimming Pool",Dogs & Cats,"$2,800",43.699965582462994,-79.38832869525635,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p217257/apartments-at-225-davisville-ave-toronto-on-m4s-1g9
225 Davisville Avenue,Davisville Village Apartments,"225 Davisville Ave, Toronto, ON M4S 1G9",Toronto,Renovated 2 Bedroom 1 Bathroom,2 Bedrooms,1 Bathroom,884 SQFT,"Hardwood Floor, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Outdoor Space, Storage, Swimming Pool",Dogs & Cats,"$3,000",43.699965582462994,-79.38832869525635,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p217257/apartments-at-225-davisville-ave-toronto-on-m4s-1g9
225 Davisville Avenue,Davisville Village Apartments,"225 Davisville Ave, Toronto, ON M4S 1G9",Toronto,2 Bedroom,2 Bedrooms,2 Bathrooms,"1,060 SQFT","Hardwood Floor, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Outdoor Space, Storage, Swimming Pool",Dogs & Cats,"$3,050",43.699965582462994,-79.38832869525635,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p217257/apartments-at-225-davisville-ave-toronto-on-m4s-1g9
285 Park Lawn Road,Stonegate ,"285 Park Lawn Rd, Toronto, ON M8Y 3J7",Toronto,103,Studios,1 Bathroom,,"Assigned Parking, On Site Laundry","Garage Parking, On Site Laundry",Dogs & Cats,"$2,100",43.63427997244457,-79.49252655607164,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p794731/apartments-at-285-park-lawn-rd-toronto-on-m8y-3j7
285 Park Lawn Road,Stonegate ,"285 Park Lawn Rd, Toronto, ON M8Y 3J7",Toronto,203,1 Bedrooms,1 Bathroom,650 SQFT,"Assigned Parking, On Site Laundry","Garage Parking, On Site Laundry",Dogs & Cats,"$2,150",43.63427997244457,-79.49252655607164,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p794731/apartments-at-285-park-lawn-rd-toronto-on-m8y-3j7
285 Park Lawn Road,Stonegate ,"285 Park Lawn Rd, Toronto, ON M8Y 3J7",Toronto,107,1 Bedrooms,1 Bathroom,650 SQFT,"Assigned Parking, On Site Laundry","Garage Parking, On Site Laundry",Dogs & Cats,"$2,150",43.63427997244457,-79.49252655607164,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p794731/apartments-at-285-park-lawn-rd-toronto-on-m8y-3j7
285 Park Lawn Road,Stonegate ,"285 Park Lawn Rd, Toronto, ON M8Y 3J7",Toronto,307,1 Bedrooms,1 Bathroom,650 SQFT,"Assigned Parking, On Site Laundry","Garage Parking, On Site Laundry",Dogs & Cats,"$2,150",43.63427997244457,-79.49252655607164,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p794731/apartments-at-285-park-lawn-rd-toronto-on-m8y-3j7
285 Park Lawn Road,Stonegate ,"285 Park Lawn Rd, Toronto, ON M8Y 3J7",Toronto,M7,1 Bedrooms,1 Bathroom,650 SQFT,"Assigned Parking, On Site Laundry","Garage Parking, On Site Laundry",Dogs & Cats,"$2,150",43.63427997244457,-79.49252655607164,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p794731/apartments-at-285-park-lawn-rd-toronto-on-m8y-3j7
Rosslyn Residences,Westminster Apartments,"5950 Bathurst St, Toronto, ON M2R 1Y9",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,,"Assigned Parking, Balcony, Central Heat, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,"$2,200",43.78344987414005,-79.44551337884171,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p497059/rosslyn-residences-apartments-at-5950-bathurst-st-toronto-on-m2r-1y9
Rosslyn Residences,Westminster Apartments,"5950 Bathurst St, Toronto, ON M2R 1Y9",Toronto,2 Bedroom,2 Bedrooms,1 Bathroom,,"Assigned Parking, Balcony, Central Heat, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,"$2,400",43.78344987414005,-79.44551337884171,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p497059/rosslyn-residences-apartments-at-5950-bathurst-st-toronto-on-m2r-1y9
Heath Residences,Lansing,"325 Bogert Ave, Toronto, ON M2N 1L8",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,,"Assigned Parking, Balcony, Hardwood Floor, On Site Laundry, Walk In Closets","Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$2,200",43.75737471808239,-79.42551823514803,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p496815/heath-residences-apartments-at-325-bogert-ave-toronto-on-m2n-1l8
Heath Residences,Lansing,"325 Bogert Ave, Toronto, ON M2N 1L8",Toronto,2 Bedroom,2 Bedrooms,1 Bathroom,,"Assigned Parking, Balcony, Hardwood Floor, On Site Laundry, Walk In Closets","Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$2,400",43.75737471808239,-79.42551823514803,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p496815/heath-residences-apartments-at-325-bogert-ave-toronto-on-m2n-1l8
Heath Residences,Lansing,"325 Bogert Ave, Toronto, ON M2N 1L8",Toronto,3 Bedroom,3 Bedrooms,"1 Full, 1 Half Bath",,"Assigned Parking, Balcony, Hardwood Floor, On Site Laundry, Walk In Closets","Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$2,600",43.75737471808239,-79.42551823514803,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p496815/heath-residences-apartments-at-325-bogert-ave-toronto-on-m2n-1l8
40 Delisle Apartments,Deer Park Apartments,"40 Delisle Ave, Toronto, ON M4V 1S6",Toronto,Bachelor,Studios,1 Bathroom,475 SQFT,"Dishwasher, On Site Laundry","Elevator, On Site Laundry",Dogs & Cats,"$2,175",43.68879698811703,-79.39643518049695,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p899784/40-delisle-apartments-at-40-delisle-ave-toronto-on-m4v-1s6
40 Delisle Apartments,Deer Park Apartments,"40 Delisle Ave, Toronto, ON M4V 1S6",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,711 SQFT,"Dishwasher, On Site Laundry","Elevator, On Site Laundry",Dogs & Cats,"$2,345",43.68879698811703,-79.39643518049695,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p899784/40-delisle-apartments-at-40-delisle-ave-toronto-on-m4v-1s6
40 Delisle Apartments,Deer Park Apartments,"40 Delisle Ave, Toronto, ON M4V 1S6",Toronto,2 Bedroom + Den,2 Bedrooms,"1 Full, 1 Half Bath","1,019 SQFT","Dishwasher, On Site Laundry","Elevator, On Site Laundry",Dogs & Cats,"$2,985",43.68879698811703,-79.39643518049695,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p899784/40-delisle-apartments-at-40-delisle-ave-toronto-on-m4v-1s6
245 Logan Avenue,Leslieville Apartments,"245 Logan Ave, Toronto, ON M4M 2N2",Toronto,Studio,Studios,1 Bathroom,,"Dishwasher, On Site Laundry",On Site Laundry,Dogs & Cats,"$2,075",43.66025366149832,-79.34230263889818,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p466930/apartments-at-245-logan-ave-toronto-on-m4m-2n2
245 Logan Avenue,Leslieville Apartments,"245 Logan Ave, Toronto, ON M4M 2N2",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,,"Dishwasher, On Site Laundry",On Site Laundry,Dogs & Cats,"$2,225",43.66025366149832,-79.34230263889818,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p466930/apartments-at-245-logan-ave-toronto-on-m4m-2n2
245 Logan Avenue,Leslieville Apartments,"245 Logan Ave, Toronto, ON M4M 2N2",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,,"Dishwasher, On Site Laundry",On Site Laundry,Dogs & Cats,"$2,275",43.66025366149832,-79.34230263889818,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p466930/apartments-at-245-logan-ave-toronto-on-m4m-2n2
391 Sherbourne Street,Cabbagetown Apartments,"391 Sherbourne St, Toronto, ON M4X 1K4",Toronto,Studio,Studios,1 Bathroom,385 SQFT,,,Dogs & Cats,"$2,195",43.66418259226811,-79.37338075310885,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213516/apartments-at-391-sherbourne-st-toronto-on-m4x-1k4
391 Sherbourne Street,Cabbagetown Apartments,"391 Sherbourne St, Toronto, ON M4X 1K4",Toronto,1 BEDROOM,1 Bedrooms,1 Bathroom,550 SQFT,,,Dogs & Cats,"$2,380",43.66418259226811,-79.37338075310885,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213516/apartments-at-391-sherbourne-st-toronto-on-m4x-1k4
The Hampton,North Toronto Apartments,"101 Roehampton Ave, Toronto, ON M4P 2W2",Toronto,Willow,1 Bedrooms,1 Bathroom,657 SQFT,"Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,250",43.7085608485888,-79.39555434418331,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p451401/the-hampton-apartments-at-101-roehampton-ave-toronto-on-m4p-2w2
The Hampton,North Toronto Apartments,"101 Roehampton Ave, Toronto, ON M4P 2W2",Toronto,Pear,1 Bedrooms,1 Bathroom,486 SQFT,"Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,400",43.7085608485888,-79.39555434418331,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p451401/the-hampton-apartments-at-101-roehampton-ave-toronto-on-m4p-2w2
The Hampton,North Toronto Apartments,"101 Roehampton Ave, Toronto, ON M4P 2W2",Toronto,Linden,1 Bedrooms,1 Bathroom,570 SQFT,"Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,400",43.7085608485888,-79.39555434418331,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p451401/the-hampton-apartments-at-101-roehampton-ave-toronto-on-m4p-2w2
The Hampton,North Toronto Apartments,"101 Roehampton Ave, Toronto, ON M4P 2W2",Toronto,Fir,2 Bedrooms,2 Bathrooms,788 SQFT,"Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$3,275",43.7085608485888,-79.39555434418331,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p451401/the-hampton-apartments-at-101-roehampton-ave-toronto-on-m4p-2w2
The Hampton,North Toronto Apartments,"101 Roehampton Ave, Toronto, ON M4P 2W2",Toronto,Magnolia,3 Bedrooms,"2 Full, 1 Half Bath","1,225 SQFT","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$4,700",43.7085608485888,-79.39555434418331,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p451401/the-hampton-apartments-at-101-roehampton-ave-toronto-on-m4p-2w2
88 Redpath Avenue,Davisville Village Apartments,"88 Redpath Ave, Toronto, ON M4S 2J8",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,605 SQFT,,,Dogs & Cats,"$2,096",43.70656348640545,-79.39239184173269,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213631/apartments-at-88-redpath-ave-toronto-on-m4s-2j8
88 Redpath Avenue,Davisville Village Apartments,"88 Redpath Ave, Toronto, ON M4S 2J8",Toronto,2 Bedroom,2 Bedrooms,1 Bathroom,730 SQFT,,,Dogs & Cats,"$3,536",43.70656348640545,-79.39239184173269,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213631/apartments-at-88-redpath-ave-toronto-on-m4s-2j8
400 Walmer Road,Forest Hill Apartments,"400 Walmer Rd, Toronto, ON M5P 2X7",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,,,,Dogs & Cats,"$2,365",43.68525436587518,-79.41272724471824,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213627/apartments-at-400-walmer-rd-toronto-on-m5p-2x7
400 Walmer Road,Forest Hill Apartments,"400 Walmer Rd, Toronto, ON M5P 2X7",Toronto,2 Bedroom,2 Bedrooms,1 Bathroom,,,,Dogs & Cats,"$2,952",43.68525436587518,-79.41272724471824,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213627/apartments-at-400-walmer-rd-toronto-on-m5p-2x7
400 Walmer Road,Forest Hill Apartments,"400 Walmer Rd, Toronto, ON M5P 2X7",Toronto,3 Bedroom,3 Bedrooms,2 Bathrooms,,,,Dogs & Cats,"$3,826",43.68525436587518,-79.41272724471824,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213627/apartments-at-400-walmer-rd-toronto-on-m5p-2x7
50 Alexander Street,The Village Apartments,"50 Alexander St, Toronto, ON M4Y 1B6",Toronto,Studio,Studios,1 Bathroom,371 SQFT,"Air Conditioning, Hardwood Floor, On Site Laundry, Outdoor Space","Controlled Access, On Site Laundry, Storage",Dogs & Cats,"$1,950",43.66352201121136,-79.38119959187841,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213512/apartments-at-50-alexander-st-toronto-on-m4y-1b6
50 Alexander Street,The Village Apartments,"50 Alexander St, Toronto, ON M4Y 1B6",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,416 SQFT,"Air Conditioning, Hardwood Floor, On Site Laundry, Outdoor Space","Controlled Access, On Site Laundry, Storage",Dogs & Cats,"$2,350",43.66352201121136,-79.38119959187841,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213512/apartments-at-50-alexander-st-toronto-on-m4y-1b6
50 Alexander Street,The Village Apartments,"50 Alexander St, Toronto, ON M4Y 1B6",Toronto,Deluxe One Bedroom,1 Bedrooms,1 Bathroom,713 SQFT,"Air Conditioning, Hardwood Floor, On Site Laundry, Outdoor Space","Controlled Access, On Site Laundry, Storage",Dogs & Cats,"$2,500",43.66352201121136,-79.38119959187841,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213512/apartments-at-50-alexander-st-toronto-on-m4y-1b6
50 Alexander Street,The Village Apartments,"50 Alexander St, Toronto, ON M4Y 1B6",Toronto,Renovated 2 Bedroom,2 Bedrooms,1 Bathroom,921 SQFT,"Air Conditioning, Hardwood Floor, On Site Laundry, Outdoor Space","Controlled Access, On Site Laundry, Storage",Dogs & Cats,"$3,500",43.66352201121136,-79.38119959187841,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213512/apartments-at-50-alexander-st-toronto-on-m4y-1b6
1000 Mount Pleasant,North Toronto Apartments,"1000 Mount Pleasant Rd, Toronto, ON M4P 2M2",Toronto,1 Bedroom,1 Bedrooms,1 Bathroom,550 SQFT,"Air Conditioning, Assigned Parking, Balcony, Dishwasher, On Site Laundry",", Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool",Dogs & Cats,"$2,385",43.71370683934517,-79.39227815103392,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213093/apartments-at-1000-mount-pleasant-rd-toronto-on-m4p-2m2
Alpine Apartments,Newtonbrook Apartments,"5 Tangreen Crt, Toronto, ON M2M 3Z1",Toronto,"1 Bdrm available at 5 Tangreen Court, Toronto",1 Bedrooms,1 Bathroom,655 SQFT,"Assigned Parking, Balcony, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Storage",Dogs & Cats,"$2,595",43.79601021364845,-79.42595609470214,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p288787/alpine-apartments-at-5-tangreen-crt-toronto-on-m2m-3z1
Alpine Apartments,Newtonbrook Apartments,"5 Tangreen Crt, Toronto, ON M2M 3Z1",Toronto,"2 Bdrm available at 5 Tangreen Court, Toronto",2 Bedrooms,1 Bathroom,855 SQFT,"Assigned Parking, Balcony, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Storage",Dogs & Cats,"$3,020",43.79601021364845,-79.42595609470214,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p288787/alpine-apartments-at-5-tangreen-crt-toronto-on-m2m-3z1
Yonge Eglinton Apartments ,North Toronto Apartments,"33 Orchard View Blvd, Toronto, ON M4R 2E9",Toronto,"Bachelor available at 33 Orchard View Boulevard, Toronto",Studios,1 Bathroom,400 SQFT,"Air Conditioning, Assigned Parking, Balcony, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry",Dogs & Cats,"$1,995",43.70798547503173,-79.3994925019676,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p288770/yonge-eglinton-apartments-orchard-view-at-33-orchard-view-blvd-toronto-on-m4r-2e9
Yonge Eglinton Apartments ,North Toronto Apartments,"33 Orchard View Blvd, Toronto, ON M4R 2E9",Toronto,"1 Bdrm available at 33 Orchard View Boulevard, Toronto",1 Bedrooms,1 Bathroom,680 SQFT,"Air Conditioning, Assigned Parking, Balcony, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry",Dogs & Cats,"$2,290",43.70798547503173,-79.3994925019676,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p288770/yonge-eglinton-apartments-orchard-view-at-33-orchard-view-blvd-toronto-on-m4r-2e9
Yonge Eglinton Apartments ,North Toronto Apartments,"33 Orchard View Blvd, Toronto, ON M4R 2E9",Toronto,"2 Bdrm available at 33 Orchard View Boulevard, Toronto",2 Bedrooms,1 Bathroom,820 SQFT,"Air Conditioning, Assigned Parking, Balcony, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry",Dogs & Cats,"$3,150",43.70798547503173,-79.3994925019676,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p288770/yonge-eglinton-apartments-orchard-view-at-33-orchard-view-blvd-toronto-on-m4r-2e9
